OTU	rel.abund.	group	Phylum	Family	Genus	Species	label
ASV_e54_2dz_d7f	0.0168752477490232	M6 no smoking cessation	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.0186307265417068	M6 no smoking cessation	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
ASV_pfp_n0y_4su	0.0226513392604338	M6 no smoking cessation	Bacteroidota	Prevotellaceae	Prevotella_7	salivae	Prevotella_7 <br>salivae
ASV_qwa_h7y_hxz	0.0644430601959341	M6 no smoking cessation	Firmicutes	Streptococcaceae	Streptococcus	NA	Streptococcus sp. <br>ASV_qwa_h7y_hxz
ASV_1vt_h8b_4qs	0.00832254484926946	Smoker baseline	Actinobacteriota	Actinomycetaceae	Actinomyces	graevenitzii	Actinomyces <br>graevenitzii
ASV_6wb_da0_3db	0.0114666173478824	Smoker baseline	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
ASV_7w6_t4q_x00	0.0852598483447383	Smoker baseline	Firmicutes	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	Streptococcus sp. <br>ASV_7w6_t4q_x00
ASV_9i4_15j_91n	0.00314407249861291	Smoker baseline	Proteobacteria	Neisseriaceae	Neisseria	cinerea/flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	Neisseria sp.
ASV_dvw_6oa_8gj	0.00351396338080266	Smoker baseline	Bacteroidota	Prevotellaceae	Prevotella_7	histicola	Prevotella_7 <br>histicola
ASV_e54_2dz_d7f	0.00110967264656926	Smoker baseline	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.0201590530793416	Smoker baseline	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
