sampletype	type	rowname	value
buccal	Never smoker (control)	immune_hypoM	-0.439080264654733
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.401109066744982
buccal	Never smoker (control)	distal_epithelial_hyperM	0.423810533764175
buccal	Never smoker (control)	epithelial_hypoM	-0.317514256141639
buccal	Never smoker (control)	immune_hypoM	-0.952835985627882
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.164639167206526
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.5917412683146
buccal	Never smoker (control)	epithelial_hypoM	-0.798577420657031
buccal	Never smoker (control)	immune_hypoM	-0.731838102704611
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.27443726930703
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.122042451332464
buccal	Never smoker (control)	epithelial_hypoM	-0.879757865953125
buccal	Never smoker (control)	immune_hypoM	-1.12193437113201
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.22203666730527
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.29465389916734
buccal	Never smoker (control)	epithelial_hypoM	0.0274548841990974
buccal	Never smoker (control)	immune_hypoM	-0.517748014286013
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.386548833111343
buccal	Never smoker (control)	distal_epithelial_hyperM	0.785631404280069
buccal	Never smoker (control)	epithelial_hypoM	-0.666594312123298
buccal	Never smoker (control)	immune_hypoM	-0.788167917744956
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.471786882714581
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.0519831401969936
buccal	Never smoker (control)	epithelial_hypoM	-1.35824482094027
buccal	Never smoker (control)	immune_hypoM	-0.940124753771032
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.348156462661286
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.08571667847279
buccal	Never smoker (control)	epithelial_hypoM	-0.530187333066786
buccal	Never smoker (control)	immune_hypoM	0.411814654686093
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.70318223187647
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.323510939455514
buccal	Never smoker (control)	epithelial_hypoM	-0.604224458220678
buccal	Never smoker (control)	immune_hypoM	-1.07330999642243
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.101374702522022
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.301289317472947
buccal	Never smoker (control)	epithelial_hypoM	-0.541942360747585
buccal	Never smoker (control)	immune_hypoM	-0.247436392112764
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.866400975171115
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.84770154754095
buccal	Never smoker (control)	epithelial_hypoM	0.166061723342414
buccal	Never smoker (control)	immune_hypoM	0.388889286933109
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.43236257325154
buccal	Never smoker (control)	distal_epithelial_hyperM	0.298631198661793
buccal	Never smoker (control)	epithelial_hypoM	-0.542964772137889
buccal	Never smoker (control)	immune_hypoM	-1.17836374586082
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.339234704526872
buccal	Never smoker (control)	distal_epithelial_hyperM	0.527530793941743
buccal	Never smoker (control)	epithelial_hypoM	-0.925962685011897
buccal	Never smoker (control)	immune_hypoM	-1.39101651689103
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.238885848562834
buccal	Never smoker (control)	distal_epithelial_hyperM	0.736852063445073
buccal	Never smoker (control)	epithelial_hypoM	-0.622304978155927
buccal	Never smoker (control)	immune_hypoM	-0.929976904439168
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.306350107969352
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.086117915429333
buccal	Never smoker (control)	epithelial_hypoM	-1.09456102078796
buccal	Never smoker (control)	immune_hypoM	-1.04981635940434
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.471991949828082
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.785183950114278
buccal	Never smoker (control)	epithelial_hypoM	-0.274062635831309
buccal	Never smoker (control)	immune_hypoM	-0.422383147908145
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.771471921439999
buccal	Never smoker (control)	distal_epithelial_hyperM	0.668187291858299
buccal	Never smoker (control)	epithelial_hypoM	-1.12508288624768
buccal	Never smoker (control)	immune_hypoM	-1.37705240073677
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.130403053809167
buccal	Never smoker (control)	distal_epithelial_hyperM	0.0669678022663966
buccal	Never smoker (control)	epithelial_hypoM	-0.807646742057034
buccal	Never smoker (control)	immune_hypoM	-1.45594170184256
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.368327564718862
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.621741420676291
buccal	Never smoker (control)	epithelial_hypoM	-0.572185712880782
buccal	Never smoker (control)	immune_hypoM	-0.644882935752732
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.08870438702432
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.136811062109344
buccal	Never smoker (control)	epithelial_hypoM	1.84636177777903
buccal	Never smoker (control)	immune_hypoM	0.923718027649292
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.531421059735831
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.509410223790939
buccal	Never smoker (control)	epithelial_hypoM	-0.347977373268969
buccal	Never smoker (control)	immune_hypoM	-0.797801790919521
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.51565672439112
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.88593354090675
