varname	Principal_coordinate	Value	plot
M6 no smoking cessation	pcoa1	-1.90807326930956	control vs M6
M6 no smoking cessation	pcoa2	-10.9155653332782	control vs M6
M6 no smoking cessation	pcoa1	20.0305557552369	control vs M6
M6 no smoking cessation	pcoa2	11.1904061078096	control vs M6
M6 smoking cessation	pcoa1	-10.5981355060444	control vs M6
M6 smoking cessation	pcoa2	7.31874321769742	control vs M6
M6 no smoking cessation	pcoa1	-15.6967304878849	control vs M6
M6 no smoking cessation	pcoa2	-6.85910839559581	control vs M6
M6 no smoking cessation	pcoa1	9.94651887322053	control vs M6
M6 no smoking cessation	pcoa2	-5.85203753141772	control vs M6
M6 smoking cessation	pcoa1	15.0279350086628	control vs M6
M6 smoking cessation	pcoa2	7.76118467752175	control vs M6
M6 smoking cessation	pcoa1	3.53777342296675	control vs M6
M6 smoking cessation	pcoa2	2.74905171187395	control vs M6
M6 smoking cessation	pcoa1	-4.56915792282885	control vs M6
M6 smoking cessation	pcoa2	10.5451579944885	control vs M6
M6 no smoking cessation	pcoa1	-3.9484053669997	control vs M6
M6 no smoking cessation	pcoa2	8.21438717702033	control vs M6
M6 smoking cessation	pcoa1	-8.4812903846817	control vs M6
M6 smoking cessation	pcoa2	1.77504231784179	control vs M6
M6 no smoking cessation	pcoa1	3.92645953554442	control vs M6
M6 no smoking cessation	pcoa2	-6.43411660862125	control vs M6
M6 smoking cessation	pcoa1	-7.75817608022068	control vs M6
M6 smoking cessation	pcoa2	-2.80691642027124	control vs M6
