varname	Principal_coordinate	Value	plot
M6 no smoking cessation	pcoa1	-13.8465179678631	control vs M6
M6 no smoking cessation	pcoa2	-3.68044427859329	control vs M6
M6 no smoking cessation	pcoa1	-4.35723455443959	control vs M6
M6 no smoking cessation	pcoa2	2.8503154193463	control vs M6
M6 smoking cessation	pcoa1	9.74169401461319	control vs M6
M6 smoking cessation	pcoa2	1.82892459849266	control vs M6
M6 no smoking cessation	pcoa1	-1.72815534162418	control vs M6
M6 no smoking cessation	pcoa2	4.59536826198371	control vs M6
M6 no smoking cessation	pcoa1	-6.56890379356044	control vs M6
M6 no smoking cessation	pcoa2	-7.34981569032854	control vs M6
M6 smoking cessation	pcoa1	-5.29430061111111	control vs M6
M6 smoking cessation	pcoa2	-10.3629458425581	control vs M6
M6 no smoking cessation	pcoa1	-15.0607287939473	control vs M6
M6 no smoking cessation	pcoa2	-3.15974016497324	control vs M6
M6 no smoking cessation	pcoa1	4.42030013528143	control vs M6
M6 no smoking cessation	pcoa2	-8.13397045545469	control vs M6
M6 smoking cessation	pcoa1	-10.7894983429706	control vs M6
M6 smoking cessation	pcoa2	1.17426704214699	control vs M6
M6 smoking cessation	pcoa1	-1.00591402946668	control vs M6
M6 smoking cessation	pcoa2	-4.25987070595768	control vs M6
M6 smoking cessation	pcoa1	2.02639864413037	control vs M6
M6 smoking cessation	pcoa2	-9.41649909916882	control vs M6
M6 no smoking cessation	pcoa1	-4.04106589890069	control vs M6
M6 no smoking cessation	pcoa2	0.878710266624027	control vs M6
M6 smoking cessation	pcoa1	7.81143637581243	control vs M6
M6 smoking cessation	pcoa2	10.5460051318923	control vs M6
M6 smoking cessation	pcoa1	-9.16809287592885	control vs M6
M6 smoking cessation	pcoa2	8.32470121438056	control vs M6
M6 no smoking cessation	pcoa1	-10.910722996489	control vs M6
M6 no smoking cessation	pcoa2	-11.0948762192732	control vs M6
M6 smoking cessation	pcoa1	-1.11926037187501	control vs M6
M6 smoking cessation	pcoa2	-1.94259711540057	control vs M6
