Family	rel.abund.	group
Comamonadaceae	0	M6 no smoking cessation
Neisseriaceae	0.00372262141805904	M6 no smoking cessation
Peptococcaceae	0.0000865725911176522	M6 no smoking cessation
Streptococcaceae	0.37866851354861	M6 no smoking cessation
Atopobiaceae	0.0319939776042157	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.00658699538910323	Smoker baseline
Peptococcaceae	0.0000940999341300461	Smoker baseline
Streptococcaceae	0.270631410558013	Smoker baseline
Atopobiaceae	0.0232583065380493	M6 smoking cessation
Comamonadaceae	0	M6 smoking cessation
Neisseriaceae	0.0372454448017149	M6 smoking cessation
Peptococcaceae	0.000267952840300107	M6 smoking cessation
Streptococcaceae	0.248231511254019	M6 smoking cessation
Atopobiaceae	0.0423895899053628	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.000788643533123028	Smoker baseline
Peptococcaceae	0	Smoker baseline
Streptococcaceae	0.297121451104101	Smoker baseline
Atopobiaceae	0.0537910981883248	M6 no smoking cessation
Comamonadaceae	0	M6 no smoking cessation
Neisseriaceae	0.00794005815253858	M6 no smoking cessation
Peptococcaceae	0	M6 no smoking cessation
Streptococcaceae	0.347629165734735	M6 no smoking cessation
Atopobiaceae	0.00756630579144364	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.0540910371473417	Smoker baseline
Peptococcaceae	0.000684187225822031	Smoker baseline
Streptococcaceae	0.207912424035095	Smoker baseline
Atopobiaceae	0.00388167581314416	M6 no smoking cessation
Comamonadaceae	0	M6 no smoking cessation
Neisseriaceae	0.0321911390710748	M6 no smoking cessation
Peptococcaceae	0.000468478115379467	M6 no smoking cessation
Streptococcaceae	0.151050729487351	M6 no smoking cessation
Atopobiaceae	0.0702295306611853	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.000599520383693046	Smoker baseline
Peptococcaceae	0	Smoker baseline
Streptococcaceae	0.261819116135663	Smoker baseline
Atopobiaceae	0.0262769619897422	M6 smoking cessation
Comamonadaceae	0	M6 smoking cessation
Neisseriaceae	0.0077285182322771	M6 smoking cessation
Peptococcaceae	0	M6 smoking cessation
Streptococcaceae	0.268671397456615	M6 smoking cessation
Atopobiaceae	0.0233810015768582	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.0154967103474526	Smoker baseline
Peptococcaceae	0	Smoker baseline
Streptococcaceae	0.213310858572128	Smoker baseline
Atopobiaceae	0.0148818751162646	M6 smoking cessation
Comamonadaceae	0.000062007812984436	M6 smoking cessation
Neisseriaceae	0.0439635394059651	M6 smoking cessation
Peptococcaceae	0.000372046877906616	M6 smoking cessation
Streptococcaceae	0.241024369070503	M6 smoking cessation
Atopobiaceae	0.0215976331360947	Smoker baseline
Comamonadaceae	0	Smoker baseline
Neisseriaceae	0.00897435897435897	Smoker baseline
Peptococcaceae	0	Smoker baseline
Streptococcaceae	0.268047337278106	Smoker baseline
Atopobiaceae	0.00744866895524322	M6 smoking cessation
Comamonadaceae	0	M6 smoking cessation
